0,340753
0,648932
1,8893
5,2897
11,9022
20,1505
24,6898
27,5354
28,1606
26,6977
25,1496
25,4134
25,9793
26,8666
27,0453
25,9603
27,4051
26,9544
19,1371
9,6113
4,178
1,7112
0,7912
0,547
0,3722
0,7018
1,8365
5,2098
11,9877
20,7591
26,1925
27,0977
26,4797
25,4937
25,2965
24,5825
24,2439
25,3793
24,466
23,579
24,1298
23,0852
17,695
9,1508
4,6801
2,4352
1,255
0,7412
0,5184
0,5992
1,2692
3,4791
7,4073
12,9136
17,358
19,7293
18,7727
17,4935
16,3638
15,0176
14,7404
15,4404
15,6934
16,5313
17,8642
17,9203
13,8752
7,9042
4,2304
1,9126
1,2903
0,7124
0,5396
0,5628
1,0251
2,6621
5,8079
11,2713
15,3729
17,5445
17,6591
16,3612
15,3094
15,1727
15,2414
16,4384
17,4075
18,9853
21,7062
22,2574
15,3131
7,2615
3,2555
1,6101
0,7981
0,3588
0,3273
0,6117
2,0157
5,715
13,0573
21,3339
26,3926
28,5857
27,9724
27,2087
26,4693
26,1659
26,9236
30,1244
32,0822
31,0109
30,3168
28,0188
17,6786
7,9645
3,4223
1,5822
0,6574
0,3175
0,2494
0,5304
2,0282
5,8856
12,9326
21,415
26,3607
27,5527
27,6661
26,26
25,7718
25,8706
26,9202
27,8321
29,2026
28,5956
29,926
28,357
19,1018
8,429
3,8351
1,6298
0,6742
0,3232
0,3068
0,4983
1,7249
5,3413
12,4146
20,1069
25,4
27,4156
27,5876
27,0761
26,4138
26,5221
27,2556
28,309
28,716
29,2809
31,3841
28,5518
18,9877
8,7046
3,7392
1,6418
0,6593
0,3618
0,2803
0,5216
1,8126
5,5327
13,0184
21,1838
26,8799
28,0338
28,3127
27,1585
26,7337
25,8035
26,9425
27,4177
28,6395
28,6003
29,5883
27,5648
18,3858
8,7848
3,6293
1,5656
0,8371
0,4576
0,2657
0,5469
1,8505
5,5762
12,1088
20,8368
26,9386
28,2598
27,979
26,5515
25,4823
25,7827
26,3515
27,1874
27,6312
26,756
27,0264
25,2301
17,5669
8,653
4,2623
1,8873
1,1389
0,7161
0,4535
0,5334
1,3541
3,5839
7,7719
13,6698
17,6764
20,0626
19,1818
18,9295
16,5772
17,1431
16,943
16,3135
17,5726
19,6562
21,3952
20,6759
14,6539
7,6285
3,7801
2,1466
1,0774
0,6866
0,4333
0,5134
0,931
2,4396
5,4497
10,8463
15,829
18,9396
18,9959
17,8052
16,921
16,5947
16,7544
18,46
20,2684
22,4302
23,1063
22,8691
16,004
7,665
3,1672
1,5205
0,784
0,3653
0,3156
0,5412
1,5517
4,919
11,7024
20,7238
26,4774
26,9848
27,7361
27,4484
26,4352
26,8408
28,6309
29,3279
29,206
30,1968
30,3196
27,8006
18,5765
8,0825
3,5303
1,3935
0,6146
0,3641
0,2527
0,5084
1,6938
5,2828
12,4163
21,2006
26,9353
28,9817
28,4911
27,0253
26,9316
27,0855
27,2876
28,2027
29,2048
29,5801
29,8782
28,7828
19,8558
8,6417
3,5565
1,3662
0,5233
0,3532
0,272
0,5819
1,6589
5,2941
12,2993
20,1754
26,3182
28,5109
28,3401
27,2866
26,9283
25,9334
27,2777
28,0166
28,7848
29,6499
29,4038
28,3796
19,2136
8,4774
3,2388
1,4065
0,5865
0,2836
0,2828
0,544
1,7791
5,2919
12,5271
20,6213
25,6901
28,4111
29,0291
27,5761
26,8546
26,5197
27,397
27,6746
27,1801
25,732
26,0383
24,6234
17,107
8,3693
3,7963
1,9581
0,9334
0,4627
0,3995
0,582
1,3797
3,5428
7,8562
13,993
18,7092
20,1575
20,6256
18,82
17,0602
17,0387
16,3944
16,9251
17,727
18,4884
19,2961
18,6013
13,305
7,4937
3,6034
1,7539
0,9843
0,6135
0,4617
0,5406
1,0473
2,7576
6,0875
10,8797
14,9785
16,8957
17,063
16,0749
